nvm_seq,flash_page,flash_slot,flash_offset,record_timestamp_ms,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_speed_mps,gps_vel_down_mps,gps_heading_deg,gps_utc_time,gps_num_satellites,gps_fix_type,gps_valid,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid,baro_pressure_pa,baro_alt_m,baro_temp_c,baro_valid,i2c_bus_state,batt_voltage_mv,batt_valid,coral_block,coral_valid,record_crc16
369,19,8,39744,2006335,48.09563064575195,11.53107738494873,558.0,0.07199999690055847,0.013000000268220901,258.9140930175781,221724,10,3,1,-0.972412109375,-0.106201171875,-0.107177734375,0.9840483069419861,-0.7404580116271973,0.28244274854660034,-0.9923664331436157,0,95689.0,438.5690002441406,20.059999465942383,1,0,3766,1,ef0b0000ff0903010f6f1e0051000000,0,0xCB03
370,19,9,39848,2036435,48.0955924987793,11.531111717224121,554.0,0.02800000086426735,0.08100000023841858,123.75377655029297,221754,12,3,1,-0.974365234375,-0.101318359375,-0.111328125,0.9859244227409363,-0.7404580116271973,0.3129771053791046,-1.0916030406951904,1,95696.0,437.9586181640625,20.079999923706055,1,0,3756,1,f10b0000ff0e050008f81e0053000000,1,0x08D8
371,19,10,39952,2066476,48.095584869384766,11.531134605407715,551.0,0.03099999949336052,-0.024000000208616257,21.29077911376953,221824,12,3,1,-0.972412109375,-0.1064453125,-0.112548828125,0.9846741557121277,-0.7404580116271973,0.28244274854660034,-1.1526718139648438,1,95695.0,438.04583740234375,20.1200008392334,1,0,3769,1,f30b0000ff0a0400fb801f0055000000,1,0x43E1
372,19,11,40056,38766,48.095619201660156,11.531118392944336,555.0,0.07000000029802322,-0.0860000029206276,274.2980041503906,221927,11,3,1,-0.97021484375,-0.00830078125,-0.136962890625,0.9798696637153625,-0.8015267252922058,0.18320611119270325,-1.0916030406951904,0,95692.0,0.06353759765625,20.020000457763672,1,0,3747,1,f60b0000ff040101c067000000000000,0,0x3213
373,19,12,40160,68814,48.095645904541016,11.531120300292969,558.0,0.07500000298023224,-0.07199999690055847,252.52496337890625,221957,11,3,1,-0.97314453125,-0.012451171875,-0.140625,0.9833314418792725,-0.6335877776145935,0.19847328960895538,-0.9541984796524048,0,95695.0,-0.263275146484375,20.06999969482422,1,0,3737,1,f80b0000ff080300abf0000002000000,1,0xC9DA
374,19,13,40264,98814,48.095703125,11.531139373779297,569.0,0.38100001215934753,0.33500000834465027,249.00308227539062,222027,13,3,1,-0.96826171875,-0.010498046875,-0.1376953125,0.9780597686767578,-0.7709923386573792,0.17557251453399658,-1.1145038604736328,1,95693.0,-0.111663818359375,20.100000381469727,0,0,3763,1,fa0b0000ff0703006b7d010004000000,1,0x8EA9
375,19,14,40368,128914,48.09573745727539,11.531140327453613,573.0,0.08900000154972076,-0.054999999701976776,254.44825744628906,222057,13,3,1,-0.977294921875,-0.01318359375,-0.1416015625,0.9875880479812622,-0.7557252049446106,0.25190839171409607,-1.106870174407959,1,95691.0,0.001312255859375,20.149999618530273,1,0,3766,1,fb0b0000ff080301bfc1010005000000,0,0xDA15
376,19,15,40472,159014,48.09572982788086,11.531173706054688,575.0,0.0729999989271164,-0.13199999928474426,347.87774658203125,222128,12,3,1,-0.976318359375,-0.013671875,-0.135986328125,0.9858381152153015,-0.7786259651184082,0.18320611119270325,-1.0458015203475952,1,95690.0,0.0992431640625,20.149999618530273,1,0,3766,1,fd0b0000ff020100694a020007000000,1,0xFA7C
377,19,16,40576,189123,48.09569549560547,11.531173706054688,570.0,0.06700000166893005,0.012000000104308128,225.9938201904297,222158,14,3,1,-0.9697265625,-0.01513671875,-0.132080078125,0.9787971377372742,-0.8167939186096191,0.290076345205307,-1.0229008197784424,1,95687.0,0.287689208984375,20.139999389648438,1,0,3756,1,ff0b0000ff03010020d3020009000000,1,0x5943
378,19,17,40680,219223,48.09562301635742,11.531136512756348,561.0,0.07500000298023224,-0.09000000357627869,201.49607849121094,222228,11,3,1,-0.979248046875,-0.013916015625,-0.134765625,0.98857581615448,-0.7175572514533997,0.25190839171409607,-1.1832060813903809,1,95694.0,-0.115386962890625,20.15999984741211,1,0,3763,1,000c0000ff040101781703000a000000,0,0x280C
