elapsed_min,vertical_up_mps,ground_speed_mps,accel_mag_g,accel_mag_max_g
41.04167,7.35,28.35,1.079,1.223
41.125,7.98,25.66,1.097,1.284
41.20833,7.56,31.15,0.917,1.143
41.29167,4.53,30.96,1.053,1.213
41.375,5.94,26.77,0.959,1.241
41.45833,4.3,28.2,1.055,1.216
41.54167,6.14,32.4,0.976,1.122
41.625,5.73,32.4,1.008,1.102
41.70833,5.24,27.68,1.005,1.103
41.79167,7.85,26.88,1.071,1.258
41.875,6.15,33.44,1.091,1.246
41.95833,6.71,33.64,1.0515,1.175
42.04167,8.57,27,1.038,1.226
42.125,6.19,30.02,0.9665,1.23
42.20833,5.62,32.48,0.962,1.178
42.29167,6.33,30.55,1.03,1.439
42.375,8.01,26.66,1.1195,1.381
42.45833,10.04,30.82,1.002,1.094
42.54167,6.72,36.4,0.906,1.161
42.625,5.25,33.53,1.0215,1.311
42.70833,4.29,29.8,1.004,1.174
42.79167,4.8,33.43,1.007,1.209
42.875,6.05,29.9,1.0085,1.227
42.95833,4.8,27.52,1.014,1.179
43.04167,7.06,29.76,1.116,1.465
43.125,5.85,25.53,0.947,1.306
43.20833,4.83,29.53,1.021,1.498
43.29167,4.61,33.44,1.0685,1.248
43.375,7.28,31.24,1.053,1.662
43.45833,8.83,32.39,1.058,1.249
43.54167,6.35,28.78,0.926,1.198
43.625,5.59,31.55,1.02,1.164
43.70833,7.09,31.32,1.073,1.314
43.79167,6.71,30.32,0.978,1.203
43.875,4.17,28.98,1.005,1.193
43.95833,5.45,33.49,1.034,1.151
44.04167,4.88,32.37,1.126,1.388
44.125,6.11,29.52,1.04,1.184
44.20833,5.43,28.84,1.06,1.269
44.29167,6.24,29.23,1.17,1.563
44.375,8.74,32.61,1.046,1.29
44.45833,4.73,30.35,1.145,1.57
44.54167,5.64,26.02,1.1045,1.81
44.625,5.96,27.47,1.269,1.863
44.70833,7.89,32.5,1.0675,1.814
44.79167,5.63,29.46,1.025,1.353
44.875,5.85,26.45,0.997,1.237
44.95833,6.92,27.58,1.0755,1.217
45.04167,5.09,31.66,0.9665,1.133
45.125,4.74,27.17,0.958,1.141
45.20833,4.75,28.62,1.0195,1.188
45.29167,4.94,29.4,0.993,1.128
45.375,4.12,26.72,1.064,1.137
45.45833,5.11,27.09,0.959,1.117
45.54167,4.15,29.77,1.022,1.165
45.625,6.23,31.41,1.0965,1.266
45.70833,7.59,24.34,0.895,1.108
45.79167,5.17,24.11,1.053,1.187
45.875,6.1,27.13,1.0855,1.622
45.95833,6.68,27.64,1.208,1.747
46.04167,6.56,26.78,1.1015,1.86
46.125,7.48,20.66,1.153,1.919
46.20833,5.71,21.57,1.138,1.619
46.29167,6.25,20.59,0.985,1.741
46.375,4.19,21.02,1.008,1.308
46.45833,4.79,24.13,1.003,1.258
46.54167,4.52,24.26,1.013,1.098
46.625,4.18,21.95,1.0595,1.184
46.70833,5.11,23.36,0.994,1.243
46.79167,5.25,21.72,1.005,1.237
46.875,5.68,22.38,1.009,1.19
46.95833,4.65,19.5,1.035,1.221
47.04167,5.89,20.52,0.941,1.177
47.125,4.8,17.61,1.06,1.263
47.20833,5.7,20.99,1.043,1.274
47.29167,6.18,18.62,1.063,1.425
47.375,8.24,21.23,1.124,1.554
47.45833,7.05,24.67,1.013,1.341
47.54167,4.85,21.38,1.019,1.229
47.625,5.11,18.07,1.095,1.54
47.70833,5.66,18.51,1.1875,1.691
47.79167,5.8,19.07,1.101,1.773
47.875,7.07,13.48,1.2505,2.065
47.95833,5.69,16.43,1.083,2.478
48.04167,8.04,18.48,1.26,2.041
48.125,8.92,16.15,1.2695,1.96
48.20833,5.59,22.37,1.342,1.856
48.29167,5.42,20.22,1.267,1.878
48.375,5.93,16.81,1.155,2.313
48.45833,7,16.42,1.0345,2.175
48.54167,6.43,15.59,1.1185,1.935
48.625,8.7,19.7,1.212,1.688
48.70833,5.74,12.83,1.046,1.446
48.79167,7.03,13.27,1.085,1.309
48.875,4.93,19.62,1.093,1.226
48.95833,6.32,18.56,0.973,1.38
49.04167,4.68,18.21,1.0895,1.448
49.125,5.19,17.35,1.074,1.73
49.20833,7.27,17.14,1.0635,1.975
49.29167,8.63,21.07,1.42,2.205
49.375,6.72,21.13,1.23,1.945
49.45833,6.16,16.11,1.1145,1.598
49.54167,6.13,12.75,1.108,1.489
49.625,7.77,11.92,1.1735,1.583
49.70833,9.26,11.63,1.0885,1.644
49.79167,7.07,13.72,1.175,1.713
49.875,5.27,16.41,1.067,1.539
49.95833,8.57,13.1,0.996,1.547
50.04167,4.49,14.65,1.026,1.146
50.125,5.8,16.47,0.975,1.279
50.20833,6.28,15.11,1.04,1.632
50.29167,4.39,14.83,1.12,1.74
50.375,5.44,13.21,1.526,2.046
50.45833,7.86,18.85,1.446,2.122
50.54167,9.36,12.27,1.5375,2.094
50.625,8.81,21.4,1.487,2.281
50.70833,4.51,15.73,1.281,2.178
50.79167,6.35,15.44,1.2995,2.012
50.875,5.71,14.03,1.178,2.024
50.95833,7.06,13.43,1.1065,2.535
51.04167,8.21,15.25,1.34,2.962
51.125,6.35,11.95,1.156,2.914
51.20833,7.62,15.2,1.356,2.101
51.29167,8.54,17.59,1.348,2.453
51.375,6.72,13.58,1.343,2.553
51.45833,6.46,13.87,1.3555,2.052
51.54167,5.46,16.9,1.075,2.278
51.625,7.41,18.05,1.0965,2.113
51.70833,6.23,19.07,1.1105,2.048
51.79167,6.49,18.6,1.3085,2.359
51.875,7.2,18.2,1.345,2.277
51.95833,8.13,17.73,1.4745,2.361
52.04167,5.71,16.55,1.133,1.698
52.125,6.54,16.43,1.0085,2.12
52.20833,8,13.58,1.085,2
52.29167,7.45,14.09,1.202,1.932
52.375,8.86,17.27,1.2925,2.471
52.45833,6.71,17.73,1.342,1.712
52.54167,5.41,16.97,1.189,1.555
52.625,4.76,13.28,1.196,1.611
52.70833,7.81,11.29,1.029,2.024
52.79167,6.93,12.46,1.153,2.223
52.875,5.64,18.92,1.538,2.272
52.95833,10.86,14.06,1.409,2.231
53.04167,7.42,9.69,1.16,2.07
53.125,4.64,9.12,1.085,2.042
53.20833,6.17,6.25,1.12,1.781
53.29167,6.7,7.42,1.078,2.072
53.375,6.79,8.98,1.1025,2.029
53.45833,7.95,13.57,1.3695,2.189
53.54167,7.19,13.19,1.37,2.124
