elapsed_min,gps_alt_km,baro_alt_km,phase
44.70833,12.974,11.88038,2
44.79167,13.009,11.91392,2
44.875,13.032,11.93546,2
44.95833,13.058,11.95943,2
45.04167,13.091,11.99298,2
45.125,13.115,12.01612,2
45.20833,13.138,12.03693,2
45.29167,13.164,12.06226,2
45.375,13.186,12.08338,2
45.45833,13.209,12.1042,2
45.54167,13.232,12.12803,2
45.625,13.258,12.15003,2
45.70833,13.301,12.1902,2
45.79167,13.325,12.2143,2
45.875,13.353,12.24094,2
45.95833,13.385,12.27226,2
46.04167,13.423,12.30903,2
46.125,13.458,12.34491,2
46.20833,13.49,12.37167,2
46.29167,13.517,12.40067,2
46.375,13.544,12.42386,2
46.45833,13.566,12.44566,2
46.54167,13.589,12.46772,2
46.625,13.612,12.48693,2
46.70833,13.639,12.5164,2
46.79167,13.665,12.54342,2
46.875,13.691,12.56503,2
46.95833,13.715,12.5904,2
47.04167,13.741,12.61695,2
47.125,13.765,12.64175,2
47.20833,13.794,12.66552,2
47.29167,13.82,12.69235,2
47.375,13.859,12.72865,2
47.45833,13.901,12.76966,2
47.54167,13.927,12.79044,2
47.625,13.953,12.8147,2
47.70833,13.981,12.83904,2
47.79167,14.014,12.87474,2
47.875,14.041,12.90331,2
47.95833,14.079,12.93566,2
48.04167,14.113,12.97049,2
48.125,14.154,13.01249,2
48.20833,14.188,13.03907,2
48.29167,14.219,13.06849,2
48.375,14.245,13.09251,2
48.45833,14.278,13.12454,2
48.54167,14.307,13.14914,2
48.625,14.338,13.17982,2
48.70833,14.379,13.21664,2
48.79167,14.406,13.24278,2
48.875,14.442,13.27466,2
48.95833,14.467,13.29735,2
49.04167,14.495,13.32398,2
49.125,14.522,13.34866,2
49.20833,14.552,13.3761,2
49.29167,14.59,13.41642,2
49.375,14.636,13.45614,2
49.45833,14.664,13.48233,2
49.54167,14.694,13.50611,2
49.625,14.728,13.54003,2
49.70833,14.772,13.58045,2
49.79167,14.809,13.61388,2
49.875,14.843,13.64449,2
49.95833,14.879,13.6808,2
50.04167,14.91,13.70396,2
50.125,14.934,13.72676,2
50.20833,14.962,13.7544,2
50.29167,14.992,13.77868,2
50.375,15.021,13.80434,2
50.45833,15.059,13.83973,2
50.54167,15.102,13.87969,2
50.625,15.153,13.92786,2
50.70833,15.182,13.95408,2
50.79167,15.213,13.98263,2
50.875,15.242,14.00927,2
50.95833,15.276,14.04097,2
51.04167,15.313,14.07485,2
51.125,15.348,14.10662,2
51.20833,15.385,14.14357,2
51.29167,15.426,14.17703,2
51.375,15.466,14.21528,2
51.45833,15.495,14.23749,2
51.54167,15.526,14.27188,2
51.625,15.556,14.29522,2
51.70833,15.585,14.32003,2
51.79167,15.616,14.34776,2
51.875,15.651,14.38081,2
51.95833,15.69,14.41924,2
52.04167,15.731,14.45407,2
52.125,15.761,14.48066,2
52.20833,15.793,14.5088,2
52.29167,15.829,14.53973,2
52.375,15.867,14.57516,2
52.45833,15.906,14.60834,2
52.54167,15.933,14.63333,2
52.625,15.961,14.65496,2
52.70833,15.989,14.68259,2
52.79167,16.028,14.7158,2
52.875,16.063,14.75565,2
52.95833,16.113,14.79525,2
53.04167,16.159,14.83203,2
53.125,16.188,14.85938,2
53.20833,16.218,14.88377,2
53.29167,16.247,14.9103,2
53.375,16.279,14.94155,2
53.45833,16.318,14.97399,2
53.54167,16.358,15.00812,2
53.625,16.392,15.03775,2
53.70833,16.42,15.05809,2
53.79167,16.452,15.08689,2
53.875,16.49,15.12003,2
53.95833,16.529,15.15544,2
54.04167,16.564,15.18306,2
54.125,16.605,15.22148,2
54.20833,16.647,15.25421,2
54.29167,16.689,15.29413,2
54.375,16.719,15.31798,2
54.45833,16.749,15.34245,2
54.54167,16.782,15.36647,2
54.625,16.81,15.39168,2
54.70833,16.845,15.4225,2
54.79167,16.881,15.45844,2
54.875,16.923,15.49235,2
54.95833,16.957,15.51972,2
55.04167,16.985,15.54495,2
55.125,17.027,15.57874,2
55.20833,17.069,15.61781,2
55.29167,17.106,15.65311,2
55.375,17.141,15.68517,2
