elapsed_min,sequence,cloud_fraction_percent,status,valid
175.26667,1037,4.2954,0,1
175.55647,1038,25.3895,0,1
175.84437,1039,2.7329,0,1
176.13144,1040,1.561,0,1
176.4128,1041,3.9048,0,1
176.7,1042,1.561,0,1
176.98333,1043,5.0767,0,1
177.27319,1044,1.9516,0,1
177.55903,1045,2.7329,0,1
177.84447,1046,1.9516,0,1
178.12654,1047,0.7797,0,1
178.41667,1048,3.9048,0,1
178.6941,1049,1.561,0,1
178.98523,1050,1.1704,0,1
179.27055,1051,1.1704,0,1
179.55757,1052,0,0,1
179.85,1053,0.3891,0,1
180.1318,1054,0.3891,0,1
180.41912,1055,3.9048,0,1
180.70234,1056,2.7329,0,1
180.99034,1057,1.1704,0,1
181.27643,1058,1.1704,0,1
181.56361,1059,5.8579,0,1
181.85,1060,1.9516,0,1
