elapsed_min,battery_v,battery_min_v,battery_max_v,coral_fault
20.45,3.9275,3.92,3.948,0
20.48333,3.9375,3.916,3.952,0
20.51667,3.9405,3.913,3.952,0
20.55,3.936,3.894,3.955,0
20.58333,3.932,3.916,3.945,0
20.61667,3.9375,3.929,3.952,0
20.65,3.9325,3.92,3.945,0
20.68333,3.936,3.923,3.955,0
20.71667,3.929,3.884,3.948,0
20.75,3.929,3.916,3.945,0
20.78333,3.934,3.916,3.952,0
20.81667,3.939,3.913,3.952,0
20.85,3.936,3.916,3.952,0
20.88333,3.936,3.907,3.955,0
20.91667,3.932,3.904,3.948,0
20.95,3.932,3.926,3.945,0
20.98333,3.936,3.916,3.948,0
21.01667,3.936,3.916,3.948,0
21.05,3.932,3.878,3.945,0
21.08333,3.942,3.923,3.955,0
21.11667,3.936,3.913,3.942,0
21.15,3.936,3.926,3.955,0
21.18333,3.939,3.907,3.952,0
21.21667,3.936,3.891,3.952,0
21.25,3.936,3.891,3.955,0
21.28333,3.936,3.913,3.952,0
21.31667,3.9305,3.916,3.948,0
21.35,3.934,3.913,3.945,0
21.38333,3.934,3.904,3.945,0
21.41667,3.929,3.862,3.955,0
21.45,3.936,3.923,3.955,0
21.48333,3.936,3.923,3.948,0
21.51667,3.936,3.91,3.948,0
21.55,3.932,3.923,3.952,0
21.58333,3.9305,3.904,3.945,0
21.61667,3.929,3.904,3.942,0
21.65,3.932,3.907,3.955,0
21.68333,3.936,3.916,3.948,0
21.71667,3.936,3.913,3.955,0
21.75,3.936,3.878,3.948,0
21.78333,3.9305,3.91,3.948,0
21.81667,3.9325,3.916,3.952,0
21.85,3.932,3.916,3.942,0
21.88333,3.936,3.916,3.942,0
21.91667,3.929,3.907,3.952,0
21.95,3.939,3.923,3.955,0
21.98333,3.942,3.916,4.182,0
22.01667,3.936,3.929,3.952,0
22.05,3.936,3.916,3.948,0
22.08333,3.929,3.881,3.945,0
22.11667,3.936,3.916,3.955,0
22.15,3.936,3.92,3.952,0
22.18333,3.9275,3.913,3.942,0
22.21667,3.939,3.91,3.955,0
22.25,3.936,3.884,3.948,0
22.28333,3.929,3.916,3.942,0
22.31667,3.932,3.916,3.942,0
22.35,3.936,3.92,3.942,0
22.38333,3.936,3.923,3.955,0
22.41667,3.936,3.923,3.942,0
22.45,3.929,3.878,3.945,0
22.48333,3.929,3.91,3.948,0
22.51667,3.936,3.916,4.016,0
22.55,3.936,3.916,3.945,0
22.58333,3.929,3.916,3.948,0
22.61667,3.932,3.913,3.942,0
22.65,3.932,3.916,3.955,0
22.68333,3.932,3.904,3.942,0
22.71667,3.936,3.916,3.942,0
22.75,3.9275,3.907,3.942,0
22.78333,3.929,3.881,3.945,0
